English,German Singular,German Plural,Differences
1194. Deer,Das Reh,Die Rehe,e
1195. Print,Der Druck,Die Drucke,e
1196. Rail,Die Schiene,Die Schienen,n
1197. Rate,Der Tarif,Die Tarife,e
1198. Courage,Der Mut,-,"-, "
1199. Arrival,Die Ankunft,Die Ankünfte,":, e"
1200. Wish,Der Wunsch,Die Wünsche,":, e"
1201. Ridge,Der Bergrücken,Die Bergrücken,
1202. Idiot,Der Idiot,Die Idioten,en
1203. Bull,Der Stier,Die Stiere,e
1204. Seed,Der Samen,Die Samen,
1205. Progress,Der Fortschritt,-,"-, "
1206. Feel,Das Gefühl,Die Gefühle,e
1207. Shorts,Die kurze Hose,Die kurze Hosen,n
1208. Citizen,Der Bürger,Die Bürger,
1209. Trash,Der Müll,-,"-, "
1210. Log,Der Baumstamm,Die Baumstämme,":, e"
1211. Patience,Die Geduld,-,"-, "
1212. Bat,Die Fledermaus,Die Fledermäuse,":, e"
1213. Football,Der Fußball,Die Fußbälle,":, e"
1214. Routine,Die Routine,Die Routinen,n
1215. Explosion,Die Explosion,Die Explosionen,en
1216. Content,Der Inhalt,Die Inhalte,e
1217. Scientist,Der Wissenschaftler,Die Wissenschaftler,
1218. Failure,Das Versagen,Die Versagen,
1219. Sin,Die Sünde,Die Sünden,n
1220. Butt,Der Hintern,Die Hintern,
1221. Confusion,Die Verwirrung,-,"-, "
1222. Understanding,Das Verständnis,-,"-, "
1223. Trade,Der Handel,Die Handel,
1224. Refrigerator,Der Kühlschrank,Die Kühlschränke,":, e"
1225. Mister,Der Herr,Die Herren,en
1226. Flashlight,Die Taschenlampe,Die Taschenlampen,n
1227. Net,Das Netz,Die Netze,e
1228. Sailor,Der Matrose,Die Matrosen,n
1229. Attitude,Die Einstellung,Die Einstellungen,en
1230. Guilt,Die Schuld,-,"-, "
1231. Crying,Das Weinen,-,"-, "
1232. Sip,Der Schluck,Die Schlucke,e
1233. Travel,Das Reisen,Die Reisen,
1234. Cookie,Der Keks,Die Kekse,e
1235. Escape,Die Flucht,Die Fluchten,en
1236. Instruction,Die Anweisung,Die Anweisungen,en
1237. Fabric,Der Stoff,Die Stoffe,e
1238. Marble,Der Marmor,Die Marmore,e
1239. Glimpse,Der Blick,Die Blicke,e
1240. Dusk,Die Dämmerung,-,"-, "
1241. Cottage,Die Hütte,Die Hütten,n
1242. Monkey,Der Affe,Die Affen,n
1243. Makeup,Das Make-up,-,"-, "
1244. Doc,Der Arzt,Die Ärzte,":, e"
1245. Blouse,Die Bluse,Die Blusen,n
1246. Rhythm,Der Rhythmus,Die Rhythmen,"e, n, "
1247. Steam,Der Dampf,-,"-, "
1248. Phrase,Die Phrase,Die Phrasen,n
1249. Nut,Die Mutter,Die Muttern,n
1250. Pencil,Der Bleistift,Die Bleistifte,e
1251. Cook,Der Koch,Die Köche,":, e"
1252. Flag,Die Flagge,Die Flaggen,n
1253. Coach,Der Trainer,Die Trainer,
1254. Swing,Der Schwung,Die Schwünge,":, e"
1255. Speaker,Der Lautsprecher,Die Lautsprecher,
1256. Bolt,Der Bolzen,Die Bolzen,
1257. Fat,Das Fett,Die Fette,e
1258. Rug,Der Teppich,Die Teppiche,e
1259. Knock,Das Klopfen,-,"-, "
1260. Spell,Der Zauber,Die Zauber,
1261. Taxi,Das Taxi,Die Taxis,s
1262. Round,Die Runde,Die Runden,n
1263. Straw,Der Strohhalm,Die Strohhalme,e
1264. Hatch,Die Luke,Die Luken,n
1265. Fork,Die Gabel,Die Gabeln,n
1266. Evil,Das Böse,-,"-, "
1267. Maid,Die Dienstmädchen,-,"-, "
1268. Relative,Der Verwandte,Die Verwandten,n
1269. Witch,Die Hexe,Die Hexen,n
1270. Courtyard,Der Innenhof,Die Innenhöfe,":, e"
1271. Sensation,Die Sensation,Die Sensationen,en
1272. Bubble,Die Blase,Die Blasen,n
1273. Reader,Der Leser,Die Leser,
1274. Curl,Die Locke,Die Locken,n
1275. Pie,Der Kuchen,Die Kuchen,
1276. Jet,Das Düsenflugzeug,Die Düsenflugzeuge,e
1277. Shift,Die Schicht,Die Schichten,en
1278. Union,Die Union,Die Unionen,en
1279. Teenager,Der Teenager,Die Teenager,
1280. Plain,Die Ebene,Die Ebenen,n
1281. Waitress,Die Kellnerin,Die Kellnerinnen,nen
1282. Reply,Die Antwort,Die Antworten,en
1283. Rumor,Das Gerücht,Die Gerüchte,e
1284. Gravity,Die Schwerkraft,-,"-, "
1285. Shelter,Das Schutz,Die Schutz,
1286. Adventure,Das Abenteuer,Die Abenteuer,
1287. Lion,Der Löwe,Die Löwen,n
1288. Spine,Die Wirbelsäule,Die Wirbelsäulen,n
1289. Confidence,Das Vertrauen,Die Vertrauen,
1290. Depth,Die Tiefe,Die Tiefen,n
1291. Reach,Die Reichweite,Die Reichweiten,n
1292. Hammer,Der Hammer,Die Hämmer,":, "
1293. Bible,Die Bibel,Die Bibeln,n
1294. Contract,Der Vertrag,Die Verträge,":, e"
1295. Wallet,Die Brieftasche,Die Brieftaschen,n
1296. Jungle,Der Dschungel,Die Dschungel,
1297. Factory,Die Fabrik,Die Fabriken,en
1298. Indian,Der Indianer,Die Indianer,
1299. Balcony,Der Balkon,Die Balkone,e
1300. Rice,Der Reis,-,"-, "
1301. Knot,Der Knoten,Die Knoten,
1302. Cord,Das Kabel,Die Kabel,
1303. Colleague,Der Kollege,Die Kollegen,n
1304. Intention,Die Absicht,Die Absichten,en
1305. Stare,Der starren,-,"-, "
1306. Motel,Das Motel,Die Motels,s
1307. Attorney,Der Anwalt,Die Anwälte,":, e"
1308. Darling,Der Liebling,Die Lieblinge,e
1309. Discussion,Die Diskussion,Die Diskussionen,en
1310. Atmosphere,Die Atmosphäre,Die Atmosphären,n
1311. Performance,Die Aufführung,Die Aufführungen,en
1312. Tension,Die Spannung,Die Spannungen,en
1313. Text,Der Text,Die Texte,e
1314. Strand,Der Strand,Die Strände,":, e"
1315. Noon,Der Mittag,-,"-, "
1316. Vein,Die Ader,Die Adern,n
1317. Expert,Der Experte,Die Experten,n
1318. Gang,Die Bande,Die Banden,n
1319. Policeman,Der Polizist,Die Polizisten,en
1320. Cancer,Der Krebs,-,"-, "
1321. Fox,Der Fuchs,Die Füchse,":, e"
1322. Divorce,Die Scheidung,Die Scheidungen,en
1323. Pulse,Der Puls,Die Pulse,e
1324. Absence,Die Abwesenheit,-,"-, "
1325. Violence,Die Gewalt,-,"-, "
1326. Humor,Der Humor,-,"-, "
1327. Stool,Der Hocker,Die Hocker,
1328. Gravel,Der Kies,-,"-, "
1329. Treasure,Der Schatz,Die Schätze,":, e"
1330. Butter,Die Butter,-,"-, "
1331. Switch,Der Schalter,Die Schalter,
1332. Cigar,Die Zigarre,Die Zigarren,n
1333. Canvas,Die Leinwand,Die Leinwände,":, e"
1334. Happiness,Das Glück,-,"-, "
1335. Guide,Der Führer,Die Führer,
1336. Pin,Die Stecknadel,Die Stecknadeln,n
1337. Actor,Der Schauspieler,Die Schauspieler,
1338. Whole,Das Ganze,-,"-, "
1339. Arrangement,Die Anordnung,Die Anordnungen,en
1340. Brown,Das Braun,-,"-, "
1341. Host,Der Gastgeber,Die Gastgeber,
1342. Ribbon,Das Band,Die Bänder,":, er"
1343. Scarf,Der Schal,Die Schals,s
1344. Scale,Die Skala,Die Skalen,"e, n"
1345. Proof,Der Beweis,Die Beweise,e
1346. Arrow,Der Pfeil,Die Pfeile,e
1347. Temperature,Die Temperatur,Die Temperaturen,en
1348. Technology,Die Technologie,Die Technologien,n
1349. Permission,Die Erlaubnis,Die Erlaubnisse,se
1350. Location,Der Standort,Die Standorte,e
1351. Claw,Die Klaue,Die Klauen,n
1352. Cowboy,Der Cowboy,Die Cowboys,s
1353. Agency,Die Agentur,Die Agenturen,en
1354. Construction,Der Bau,-,"-, "
1355. Hunting,Die Jagd,-,"-, "
1356. Vegetable,Das Gemüse,Die Gemüse,
1357. Tin,Die Konservendose,Die Konservendosen,n
1358. Helicopter,Der Hubschrauber,Die Hubschrauber,
1359. Trap,Die Falle,Die Fallen,n
1360. Pat,Der Schlag,-,"-, "
1361. Gap,Die Lücke,Die Lücken,n
1362. Pet,Das Haustier,Die Haustiere,e
1363. Education,Das Bildung,-,"-, "
1364. Shopping,Die Einkauf,Die Einkäufe,":, e"
1365. Shed,Der Schuppen,Die Schuppen,
1366. Agreement,Die Vereinbarung,Die Vereinbarungen,en
1367. Soil,Der Boden,-,"-, "
1368. Duke,Der Herzog,Die Herzog,
1369. Shotgun,Das Schrotflinte,Die Schrotflinten,n
1370. Notion,Die Idee,Die Ideen,n
1371. Rear,Das Heck,-,"-, "
1372. Ceremony,Die Zeremonie,Die Zeremonien,n
1373. Spoon,Der Löffel,Die Löffel,
1374. Tub,Die Badewanne,Die Badewannen,n
1375. Clue,Der Hinweis,Die Hinweise,e
1376. Iris,Die Iris,Die Irisse,se
1377. Incident,Der Vorfall,Die Vorfälle,":, e"
1378. Crash,Der Zusammenstoß,Die Zusammenstöße,":, e"
1379. Journal,Das Journal,Die Journale,e
1380. Access,Der Zugriff,-,"-, "
1381. Brass,Das Messing,-,"-, "
1382. Mommy,Die Mama,Die Mamas,s
1383. Sidebar,Die Sidebar,Die Sidebars,s
1384. Sheep,Das Schaf,Die Schafe,e
1385. Engineer,Der Ingenieur,Die Ingenieure,e
1386. Hull,Der Rumpf,Die Rümpfe,":, e"
1387. Odor,Der Geruch,Die Gerüche,":, e"
1388. Appointment,Die Termin,Die Termine,e
1389. Invitation,Die Einladung,Die Einladungen,en
1390. Rag,Das Lumpen,Die Lumpen,
1391. Good,Das Gute,-,"-, "
1392. Dude,Der Typ,Die Typen,en
1393. Treatment,Die Behandlung,Die Behandlungen,en
1394. Wisdom,Die Weisheit,-,"-, "
1395. Prize,Der Preis,Die Preise,e
1396. Element,Das Element,Die Elemente,e
1397. Giant,Der Riese,Die Riesen,n
1398. Napkin,Die Serviette,Die Servietten,n
1399. Laundry,Die Wäsche,-,"-, "
1400. Option,Die Option,Die Optionen,en
1401. Rack,Das Regal,Die Regale,e
1402. Request,Die Anfrage,Die Anfragen,n
1403. Jail,Das Gefängnis,Die Gefängnisse,se
1404. Grandpa,Der Opa,Die Opas,s
1405. Ranch,Die Ranch,Die Ranches,es
1406. Dot,Der Punkt,Die Punkte,e
1407. Script,Das Skript,Die Skripte,e
1408. Mall,Das Einkaufszentrum,Die Einkaufszentren,"e, n, "
1409. Ford,Die Furt,Die Furten,en
1410. Exercise,Die Übung,Die Übungen,en
1411. Widow,Die Witwe,Die Witwen,n
1412. Crow,Die Krähe,Die Krähen,n
1413. Thread,Der Faden,Die Fäden,":, "
1414. Suicide,Der Selbstmord,Die Selbstmorde,e
1415. Notice,Das Hinweis,Die Hinweise,e
1416. Sunset,Der Sonnenuntergang,Die Sonnenuntergänge,":, e"
1417. Gallery,Die Galerie,Die Galerien,n
1418. Vessel,Das Gefäß,Die Gefäße,e
1419. Thunder,Der Donner,-,"-, "
1420. Soap,Die Seife,Die Seifen,n
1421. Whiskey,Der Whisky,-,"-, "
1422. Female,Die Frau,Die Frauen,en
1423. Mayor,Der Bürgermeister,Die Bürgermeister,
1424. Stroke,Der Schlaganfall,Die Schlaganfälle,":, e"
1425. Click,Der Klick,Die Klicks,s
1426. Reputation,Der Ruf,Die Rufe,e
1427. Miller,Der Müller,Die Müller,
1428. Council,Der Rat,Die Räte,":, e"
1429. Schedule,Der Zeitplan,Die Zeitpläne,":, e"
1430. Cemetery,Der Friedhof,Die Friedhöfe,":, e"
1431. Struggle,Der Kampf,Die Kämpfe,":, e"
1432. Instinct,Der Instinkt,Die Instinkte,e
1433. Calm,Die Ruhe,-,"-, "
1434. Employee,Der Mitarbeiter,Die Mitarbeiter,
1435. Nest,Das Nest,Die Nester,er
1436. Limit,Die Grenze,Die Grenzen,n
1437. German,Der Deutsche,Die Deutschen,n
1438. Monk,Der Mönch,Die Mönche,e
1439. Worm,Der Wurm,Die Würmer,":, er"
1440. Document,Das Dokument,Die Dokumente,e
1441. Sadness,Die Trauer,-,"-, "
1442. Hut,Der Hut,Die Hüte,":, e"
1443. Lifetime,Das Leben,Die Leben,
1444. Dancer,Der Tänzer,Die Tänzer,
1445. Insurance,Die Versicherung,Die Versicherungen,en
1446. Difficulty,Die Schwierigkeit,Die Schwierigkeiten,en
1447. Mattress,Die Matratze,Die Matratzen,n
1448. Male,Der Mann,Die Männer,":, er"
1449. Clinic,Die Klinik,Die Kliniken,en
1450. Ad,Die Anzeige,Die Anzeigen,n
1451. Mug,Der Becher,Die Becher,
1452. Kit,Das Set,Die Sets,s
1453. Communication,Die Kommunikation,Die Kommunikationen,en
1454. Disaster,Die Katastrophe,Die Katastrophen,n
1455. Tile,Die Fliese,Die Fliesen,n
1456. Receiver,Der Empfänger,Die Empfänger,
1457. Roar,Das Gebrüll,-,"-, "
1458. Troop,Die Truppe,Die Truppen,n
1459. Coffin,Der Sarg,Die Särge,":, e"
1460. Friendship,Die Freundschaft,Die Freundschaften,en
1461. Investigation,Die Untersuchung,Die Untersuchungen,en
1462. Sale,Der Verkauf,Die Verkäufe,":, e"
1463. Goal,Das Tor,Die Tore,e
1464. Ambulance,Der Krankenwagen,Die Krankenwagen,
1465. Moonlight,Das Mondschein,-,"-, "
1466. Ward,Die Station,Die Stationen,en
1467. Trousers,Die Hose,Die Hosen,n
1468. Wool,Die Wolle,-,"-, "
1469. Mac,Der Regenmantel,Die Regenmäntel,":, "
1470. Minister,Der Minister,Die Minister,
1471. Entry,Der Eintrag,Die Einträge,":, e"
1472. Thief,Der Dieb,Die Diebe,e
1473. Briefcase,Der Aktenkoffer,Die Aktentaschen,"t, a, s, c, h, e, n"
1474. Pity,Das Mitleid,-,"-, "
1475. Fingertip,Die Fingerspitze,Die Fingerspitzen,n
1476. Navy,Die Marine,Die Marinen,n
1477. Insect,Das Insekt,Die Insekten,en
1478. Velvet,Der Samt,-,"-, "
1479. Bee,Die Biene,Die Bienen,n
1480. Cane,Der Stock,Die Stöcke,":, e"
1481. Gene,Das Gen,Die Gene,e
1482. Salad,Der Salat,Die Salate,e
1483. Windshield,Die Windschutzscheibe,Die Windschutzscheiben,n
1484. Outfit,Das Outfit,Die Outfits,s
1485. Shuttle,Das Shuttle,Die Shuttle,
1486. Shout,Der Schrei,Die Schreie,e
1487. Fury,Die Wut,-,"-, "
1488. Challenge,Die Herausforderung,Die Herausforderungen,en
1489. Satisfaction,Die Zufriedenheit,-,"-, "
1490. Motor,Der Motor,Die Motoren,en
1491. Product,Das Produkt,Die Produkte,e
1492. Weed,Das Unkraut,-,"-, "
1493. Stretch,Der Stretch,-,"-, "
1494. Gym,Das Fitnessstudio,Die Fitnessstudios,s
1495. Capital,Die Hauptstadt,Die Hauptstädte,":, e"
1496. Rim,Der Rand,Die Ränder,":, er"
1497. Paw,Die Pfote,Die Pfoten,n
1498. Fort,Das Fort,Die Forts,s
1499. Cost,Die Kosten,-,"-, "
1500. Poster,Das Poster,Die Poster,
1501. Vampire,Der Vampir,Die Vampire,e
1502. Shaft,Der Schaft,Die Schäfte,":, e"
1503. Identity,Die Identität,Die Identitäten,en
1504. Pavement,Der Gehweg,Die Gehwege,e
1505. Asshole,Das Arschloch,Die Arschlöcher,":, er"
1506. Strap,Das Band,Die Bänder,":, er"
1507. Parlor,Der Salon,Die Salons,s
1508. Harbor,Der Hafen,Die Häfen,":, "
1509. Example,Das Beispiel,Die Beispiele,e
1510. Web,Das Netz,Die Netze,e
1511. Golf,Der Golf,(usually uncountable),
1512. Crap,Der Mist,(usually uncountable),
1513. Delight,Die Freude,(usually uncountable),
1514. Quilt,Die Steppdecke,Die Steppdecken,n
1515. Tax,Die Steuer,Die Steuern,n
1516. Fold,Die Falte,Die Falten,n
1517. Portrait,Das Porträt,Die Porträts,s
1518. Tissue,Das Gewebe,Die Gewebe,
1519. Belief,Der Glaube,Die Glauben,n
1520. Costume,Das Kostüm,Die Kostüme,e
1521. Measure,Das Maß,Die Maße,e
1522. Carriage,Die Kutsche,Die Kutschen,n
1523. Guitar,Die Gitarre,Die Gitarren,n
1524. Knight,Der Ritter,Die Ritter,
1525. Rank,Der Rang,Die Ränge,":, e"
1526. Major,Der Major,Die Majore,e
1527. Fountain,Der Brunnen,Die Brunnen,
1528. Stall,Der Stall,Die Ställe,":, e"
1529. Load,Die Ladung,Die Ladungen,en
1530. Spark,Der Funke,Die Funken,n
1531. Waste,Der Abfall,(usually uncountable),
1532. Champagne,Der Champagner,(usually uncountable),
1533. District,Der Bezirk,Die Bezirke,e
1534. Protection,Der Schutz,(usually uncountable),
1535. Judgment,Das Urteil,Die Urteile,e
1536. Sympathy,Das Mitgefühl,(usually uncountable),
1537. Violet,Das Veilchen,Die Veilchen,
1538. Impact,Der Aufprall,Die Aufprälle,":, e"
1539. Disappointment,Die Enttäuschung,Die Enttäuschungen,en
1540. Drinking,Das Trinken,(usually uncountable),
1541. Consciousness,Das Bewusstsein,(usually uncountable),
1542. Handkerchief,Das Taschentuch,Die Taschentücher,":, er"
1543. Dancing,Das Tanzen,(usually uncountable),
1544. Perfume,Das Parfüm,Die Parfüms,s
1545. Network,Das Netzwerk,Die Netzwerke,e
1546. Claim,Die Forderung,Die Forderungen,en
1547. Nun,Die Nonne,Die Nonnen,n
1548. Crown,Die Krone,Die Kronen,n
1549. Railing,Das Geländer,Die Geländer,
1550. License,Die Lizenz,Die Lizenzen,en
1551. Mercy,Die Gnade,(usually uncountable),
1552. Balloon,Der Ballon,Die Ballons,s
1553. Chaos,Das Chaos,(usually uncountable),
1554. Fever,Das Fieber,(usually uncountable),
1555. Locker,Der Schließfach,Die Schließfächer,":, er"
1556. Session,Die Sitzung,Die Sitzungen,en
1557. Burst,Der Ausbruch,Die Ausbrüche,":, e"
1558. Peak,Der Gipfel,Die Gipfel,
1559. Drum,Die Trommel,Die Trommeln,n
1560. Focus,Der Fokus,Die Foki,"i, "
1561. Frog,Der Frosch,Die Frösche,":, e"
1562. Benefit,Der Nutzen,Die Nutzen,
1563. Remark,Die Bemerkung,Die Bemerkungen,en
1564. Tide,Die Flut,Die Fluten,en
1565. Suspicion,Der Verdacht,Die Verdächte,":, e"
1566. Jeep,Der Jeep,Die Jeeps,s
1567. Worry,Die Sorge,Die Sorgen,n
1568. Literature,Die Literatur,(usually uncountable),
1569. Archer,Der Bogenschütze,Die Bogenschützen,n
1570. Household,Der Haushalt,Die Haushalte,e
1571. Powder,Das Pulver,Die Pulver,
1572. Shepherd,Der Hirte,Die Hirten,n
1573. Lens,Die Linse,Die Linsen,n
1574. Favorite,Der Favorit,Die Favoriten,en
1575. Madame,Die Dame,(no plural form),"f, o, r, m, )"
1576. Mansion,Die Villa,Die Villen,"e, n"
1577. Boom,Der Boom,Die Booms,s
1578. Lace,Die Spitze,Die Spitzen,n
1579. Review,Die Bewertung,Die Bewertungen,en
1580. Reception,Der Empfang,Die Empfänge,":, e"
1581. Scrap,Der Schrott,(usually uncountable),
1582. Bead,Die Perle,Die Perlen,n
1583. Glare,Das Blenden,(usually uncountable),
1584. Flow,Der Fluss,Die Flüsse,":, e"
1585. Cafe,Das Café,Die Cafés,s
1586. Status,Der Status,Die Stati,"i, "
1587. Pounding,Das Hämmern,(usually uncountable),
1588. Rocket,Die Rakete,Die Raketen,n
1589. Canyon,Die Schlucht,Die Schluchten,en
1590. Sorrow,Die Trauer,(usually uncountable),
1591. Spider,Die Spinne,Die Spinnen,n
1592. Blast,Die Explosion,Die Explosionen,en
1593. Personality,Die Persönlichkeit,Die Persönlichkeiten,en
1594. Campus,Der Campus,Die Campi,"i, "
1595. Curse,Der Fluch,Die Flüche,":, e"
1596. Staircase,Das Treppenhaus,Die Treppenhäuser,":, er"
1597. Urge,Der Drang,Die Dränge,":, e"
1598. Frustration,Die Frustration,(usually uncountable),
1599. Pump,Die Pumpe,Die Pumpen,n
1600. Ease,Die Leichtigkeit,(usually uncountable),
1601. Count,Der Graf,Die Grafen,en
1602. Solution,Die Lösung,Die Lösungen,en
1603. Jewelry,Der Schmuck,(usually uncountable),
1604. Siren,Die Sirene,Die Sirenen,n
1605. Hit,Der Hit,Die Hits,s
1606. Tradition,Die Tradition,Die Traditionen,en
1607. Curb,Der Bordstein,Die Bordsteine,e
1608. Variety,Die Vielfalt,Die Vielfalten,en
1609. Pirate,Der Pirat,Die Piraten,en
1610. Description,Die Beschreibung,Die Beschreibungen,en
1611. Dear,Der Liebling,Die Lieblinge,e
1612. Anxiety,Die Angst,Die Ängste,":, e"
1613. Pitch,Die Tonhöhe,Die Tonhöhen,n
1614. Pizza,Die Pizza,Die Pizzen,"e, n"
1615. Elephant,Der Elefant,Die Elefanten,en
1616. Politics,Die Politik,(usually uncountable),
1617. Tennis,Das Tennis,(usually uncountable),
1618. Hunger,Der Hunger,(usually uncountable),
1619. Genius,Das Genie,Die Genies,s
1620. Goat,Die Ziege,Die Ziegen,n
1621. Victory,Der Sieg,Die Siege,e
1622. Combination,Die Kombination,Die Kombinationen,en
1623. Affiliation,Die Zugehörigkeit,Die Zugehörigkeiten,en
1624. Momma,Die Mama,Die Mamas,s
1625. Cape,Das Kap,Die Kaps,s
1626. Headlight,Der Scheinwerfer,Die Scheinwerfer,
1627. Governor,Der Gouverneur,Die Gouverneure,e
1628. Oxygen,Der Sauerstoff,(usually uncountable),
1629. Bishop,Der Bischof,Die Bischöfe,":, e"
1630. Bundle,Das Bündel,Die Bündel,
1631. Development,Die Entwicklung,Die Entwicklungen,en
1632. Fingernail,Der Fingernagel,Die Fingernägel,":, "
1633. Score,Der Punktestand,Die Punktestände,":, e"
1634. Mate,Der Kamerad,Die Kameraden,en
1635. Rider,Der Reiter,Die Reiter,
1636. Orbit,Die Umlaufbahn,Die Umlaufbahnen,en
1637. Vine,Die Rebe,Die Reben,n
1638. Suite,Die Suite,Die Suiten,n
1639. Bartender,Der Barkeeper,Die Barkeeper,
1640. Coke,Die Cola,(usually uncountable),
1641. Tune,Die Melodie,Die Melodien,n
1642. Glory,Der Ruhm,(usually uncountable),
1643. Rabbi,Der Rabbi,(plural form is Rabbiner),ner)
1644. Surgery,Die Operation,Die Operationen,en
1645. Cattle,Das Rindvieh,(usually uncountable),
1646. Ritual,Das Ritual,Die Rituale,e
1647. Greeting,Der Gruß,Die Grüße,":, e"
1648. Slice,Die Scheibe,Die Scheiben,n
1649. Homer,Der Homer,Die Homers,s
1650. Fireplace,Der Kamin,Die Kamine,e
1651. Jersey,Das Trikot,Die Trikots,s
1652. Media,Die Medien,(plural noun),"n, o, u, n, ), "
1653. Pop,Der Knall,Die Knalle,e
1654. Cargo,Die Ladung,Die Ladungen,en
1655. Inn,Die Herberge,Die Herbergen,n
1656. Deputy,Der Stellvertreter,Die Stellvertreter,
1657. Despair,Die Verzweiflung,(usually uncountable),
1658. Territory,Das Gebiet,Die Gebiete,e
1659. Punch,Der Schlag,Die Schläge,":, e"
1660. Jazz,Der Jazz,(usually uncountable),
1661. Hug,Die Umarmung,Die Umarmungen,en
1662. Whistle,Die Pfeife,Die Pfeifen,n
1663. Humanity,Die Menschheit,(usually uncountable),
1664. Craft,Das Handwerk,Die Handwerke,e
1665. Daylight,Das Tageslicht,(usually uncountable),
1666. Worth,Der Wert,Die Werte,e
1667. Slip,Die Einlage,Die Einlagen,n
1668. Armor,Die Rüstung,Die Rüstungen,en
1669. Backpack,Der Rucksack,Die Rucksäcke,":, e"
1670. Suggestion,Der Vorschlag,Die Vorschläge,":, e"
1671. Den,Die Höhle,Die Höhlen,n
1672. Symbol,Das Symbol,Die Symbole,e
1673. Colony,Die Kolonie,Die Kolonien,n
1674. Conclusion,Der Schluss,Die Schlüsse,":, e"
1675. Nostril,Das Nasenloch,Die Nasenlöcher,":, er"
1676. Spear,Der Speer,Die Speere,e
1677. Impulse,Der Impuls,Die Impulse,e
1678. Tomato,Die Tomate,Die Tomaten,n
1679. Calf,Das Kalb,Die Kälber,":, er"
1680. Autumn,Der Herbst,(usually uncountable),
1681. Discovery,Die Entdeckung,Die Entdeckungen,en
1682. Classroom,Das Klassenzimmer,Die Klassenzimmer,
1683. Delivery,Die Lieferung,Die Lieferungen,en
1684. Spray,Das Spray,Die Sprays,s
1685. Liquid,Die Flüssigkeit,Die Flüssigkeiten,en
1686. Fuel,Der Treibstoff,(usually uncountable),
1687. Underwear,Die Unterwäsche,(no plural form),"f, o, r, m, ), "
1688. Dome,Die Kuppel,Die Kuppeln,n
1689. Population,Die Bevölkerung,(usually uncountable),
1690. Affection,Die Zuneigung,(usually uncountable),
1691. Religion,Die Religion,Die Religionen,en
1692. Singer,Der Sänger,Die Sängerinnen,innen
1693. Attendant,Der Bedienstete,Die Bediensteten,n
1694. Illusion,Die Illusion,Die Illusionen,en
1695. Link,Der Link,Die Links,s
1696. Lounge,Die Lounge,Die Lounges,s
1697. Interior,Das Innere,Die Innenräume,"n, r, äume"
1698. Shrug,Das Achselzucken,(usually uncountable),
1699. Zone,Die Zone,Die Zonen,n
1700. Standard,Der Standard,Die Standards,s
1701. Coal,Die Kohle,(usually uncountable),
1702. Chase,Die Jagd,Die Jagden,en
1703. Lump,Der Kloß,Die Klöße,":, e"
1704. Charm,Der Charme,Die Charmes,s
1705. Legend,Die Legende,Die Legenden,n
1706. Consequence,Die Konsequenz,Die Konsequenzen,en
1707. Observation,Die Beobachtung,Die Beobachtungen,en
1708. Bicycle,Das Fahrrad,Die Fahrräder,":, er"
1709. Harm,Der Schaden,(usually uncountable),
1710. Pay,Der Lohn,Die Löhne,":, e"
1711. Prospect,Die Aussicht,Die Aussichten,en
1712. Subway,Die U-Bahn,Die U-Bahnen,en
1713. Sample,Das Muster,Die Muster,
1714. Cherry,Die Kirsche,Die Kirschen,n
1715. Dealer,Der Händler,Die Händler,
1716. Assignment,Die Aufgabe,Die Aufgaben,n
1717. Hurry,Die Eile,(usually uncountable),
1718. Mistress,Die Geliebte,Die Geliebten,n
1719. Mound,Der Hügel,Die Hügel,
1720. Nonsense,Der Unsinn,(usually uncountable),
1721. Committee,Der Ausschuss,Die Ausschüsse,":, e"
1722. Echo,Das Echo,Die Echos,s
1723. Slack,Der Nachgiebigkeit,(usually uncountable),
1724. Decker,Die Decker,(plural noun),"n, o, u, n, ), "
1725. Warehouse,Das Lager,Die Lager,
1726. Bout,Der Kampf,Die Kämpfe,":, e"
1727. Toast,Der Toast,Die Toasts,s
1728. Facility,Die Einrichtung,Die Einrichtungen,en
1729. Basketball,Der Basketball,(usually uncountable),
1730. Mustache,Der Schnurrbart,Die Schnurrbärte,":, e"
1731. Senator,Der Senator,Die Senatoren,en
1732. Share,Die Aktie,Die Aktien,n
1733. Eyelid,Das Augenlid,Die Augenlider,er
1734. Enthusiasm,Die Begeisterung,(usually uncountable),
1735. Chunk,Das Stück,Die Stücke,e
1736. Turtle,Die Schildkröte,Die Schildkröten,n
1737. Alcohol,Der Alkohol,(usually uncountable),
1738. Gum,Der Kaugummi,Die Kaugummis,s
